"Label","Newark city, Essex County, New Jersey!!Occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Percent occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Owner-occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Percent owner-occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Renter-occupied housing units!!Estimate","Newark city, Essex County, New Jersey!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","101,689","101,689","22,305","22,305","79,384","79,384"
"    HOUSEHOLD SIZE","","","","","",""
"        1-person household","34,844","34.3%","4,565","20.5%","30,279","38.1%"
"        2-person household","26,463","26.0%","7,392","33.1%","19,071","24.0%"
"        3-person household","17,546","17.3%","5,275","23.6%","12,271","15.5%"
"        4-or-more-person household","22,836","22.5%","5,073","22.7%","17,763","22.4%"
"    OCCUPANTS PER ROOM","","","","","",""
"        1.00 or less occupants per room","95,477","93.9%","21,396","95.9%","74,081","93.3%"
"        1.01 to 1.50 occupants per room","3,120","3.1%","421","1.9%","2,699","3.4%"
"        1.51 or more occupants per room","3,092","3.0%","488","2.2%","2,604","3.3%"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","",""
"        Family households","61,667","60.6%","16,582","74.3%","45,085","56.8%"
"            Married-couple family","26,079","25.6%","9,788","43.9%","16,291","20.5%"
"                Householder 15 to 34 years","3,810","3.7%","844","3.8%","2,966","3.7%"
"                Householder 35 to 64 years","17,061","16.8%","5,948","26.7%","11,113","14.0%"
"                Householder 65 years and over","5,208","5.1%","2,996","13.4%","2,212","2.8%"
"            Other family","35,588","35.0%","6,794","30.5%","28,794","36.3%"
"                Male householder, no wife present","9,021","8.9%","2,466","11.1%","6,555","8.3%"
"                    Householder 15 to 34 years","1,869","1.8%","143","0.6%","1,726","2.2%"
"                    Householder 35 to 64 years","6,309","6.2%","1,843","8.3%","4,466","5.6%"
"                    Householder 65 years and over","843","0.8%","480","2.2%","363","0.5%"
"                Female householder, no husband present","26,567","26.1%","4,328","19.4%","22,239","28.0%"
"                    Householder 15 to 34 years","7,041","6.9%","509","2.3%","6,532","8.2%"
"                    Householder 35 to 64 years","17,377","17.1%","3,143","14.1%","14,234","17.9%"
"                    Householder 65 years and over","2,149","2.1%","676","3.0%","1,473","1.9%"
"        Nonfamily households","40,022","39.4%","5,723","25.7%","34,299","43.2%"
"            Householder living alone","34,844","34.3%","4,565","20.5%","30,279","38.1%"
"                Householder 15 to 34 years","7,346","7.2%","447","2.0%","6,899","8.7%"
"                Householder 35 to 64 years","19,023","18.7%","2,364","10.6%","16,659","21.0%"
"                Householder 65 years and over","8,475","8.3%","1,754","7.9%","6,721","8.5%"
"            Householder not living alone","5,178","5.1%","1,158","5.2%","4,020","5.1%"
"                Householder 15 to 34 years","2,315","2.3%","249","1.1%","2,066","2.6%"
"                Householder 35 to 64 years","2,318","2.3%","541","2.4%","1,777","2.2%"
"                Householder 65 years and over","545","0.5%","368","1.6%","177","0.2%"
"    FAMILY TYPE AND PRESENCE OF OWN CHILDREN","","","","","",""
"        With related children of householder under 18 years","33,354","32.8%","6,401","28.7%","26,953","34.0%"
"            With own children of householder under 18 years","30,774","30.3%","5,381","24.1%","25,393","32.0%"
"                Under 6 years only","4,750","4.7%","1,145","5.1%","3,605","4.5%"
"                Under 6 years and 6 to 17 years","9,769","9.6%","1,298","5.8%","8,471","10.7%"
"                6 to 17 years only","16,255","16.0%","2,938","13.2%","13,317","16.8%"
"            No own children of householder under 18 years","2,580","2.5%","1,020","4.6%","1,560","2.0%"
"        No related children of householder under 18 years","68,335","67.2%","15,904","71.3%","52,431","66.0%"
